iter	RMSE
0	21.13695538
1	20.03034758
2	19.0740946
3	18.22179433
4	17.48894749
5	16.83156995
6	16.28476607
7	15.78359343
8	15.12361155
9	14.54500684
10	14.02169632
11	13.5468482
12	13.1211111
13	12.7145168
14	12.37066785
15	12.08422928
16	11.85553717
17	11.61563842
18	11.42413747
19	11.20858174
20	11.04387189
21	10.87903023
22	10.76505319
23	10.63930111
24	10.53807093
25	10.44706718
26	10.38137089
27	10.33001422
28	10.27142448
29	10.21637888
30	10.1481398
31	10.11508226
32	10.02855521
33	9.939725208
34	9.900623811
35	9.844850438
36	9.756545928
37	9.713996605
38	9.696760201
39	9.65673431
40	9.613318403
41	9.557135835
42	9.551704398
43	9.511474785
44	9.473889465
45	9.441787468
46	9.433012494
47	9.401034987
48	9.37563433
49	9.350979109
50	9.331895107
51	9.312436822
52	9.279771286
53	9.262294138
54	9.240736975
55	9.202700912
56	9.19561068
57	9.17505268
58	9.168946805
59	9.136392637
60	9.127945654
61	9.116407189
62	9.103399576
63	9.082059822
64	9.043794758
65	9.032487115
66	9.017097356
67	8.999073881
68	8.974825039
69	8.968867892
70	8.950320795
71	8.936939935
72	8.923141679
73	8.902134591
74	8.886742711
75	8.878195874
76	8.873930994
77	8.866835438
78	8.846581447
79	8.842685179
80	8.830496048
81	8.826606102
82	8.810549773
83	8.798429635
84	8.790137495
85	8.771364999
86	8.761689306
87	8.749842047
88	8.74721505
89	8.736577356
90	8.726904275
91	8.72100578
92	8.706741587
93	8.687646298
94	8.681144226
95	8.67700088
96	8.676833502
97	8.667401482
98	8.656956018
99	8.654641911
100	8.64490735
101	8.641198026
102	8.630498589
103	8.620056159
104	8.611845632
105	8.597983076
106	8.597884363
107	8.59151285
108	8.585903537
109	8.578118718
110	8.573619589
111	8.55455732
112	8.545402914
113	8.532333221
114	8.53159888
115	8.523768335
116	8.520118535
117	8.519622921
118	8.506171772
119	8.495038042
120	8.49073524
121	8.478452987
122	8.467671747
123	8.457686108
124	8.441146596
125	8.43800833
126	8.429633469
127	8.416519231
128	8.397674079
129	8.394596569
130	8.384807598
131	8.376111707
132	8.359293088
133	8.346291809
134	8.333226218
135	8.317672864
136	8.300671583
137	8.290702462
138	8.273816801
139	8.270312451
140	8.258156485
141	8.243771541
142	8.23025084
143	8.224108843
144	8.205949889
145	8.196470175
146	8.187182457
147	8.173126078
148	8.167400515
149	8.156714252
150	8.14178578
151	8.13262683
152	8.125544125
153	8.116213138
154	8.107016497
155	8.089680353
156	8.077833369
157	8.073868372
158	8.059895033
159	8.052660523
160	8.045643418
161	8.040630461
162	8.032250064
163	8.020425471
164	8.014073846
165	8.005664766
166	8.000693408
167	7.991931021
168	7.98725481
169	7.980406648
170	7.96874434
171	7.96509179
172	7.959432528
173	7.953819648
174	7.949071852
175	7.944255945
176	7.938268883
177	7.931962241
178	7.921618591
179	7.911980237
180	7.905515846
181	7.8925891
182	7.88490839
183	7.870082175
184	7.866256895
185	7.861087315
186	7.856199782
187	7.845038066
188	7.838017115
189	7.829274631
190	7.825204592
191	7.82158583
192	7.812795518
193	7.80792903
194	7.804451011
195	7.796570792
196	7.793001037
197	7.784646285
198	7.780825851
199	7.773222367
200	7.769239842
201	7.764735924
202	7.758041883
203	7.751632622
204	7.748053426
205	7.743724733
206	7.739595269
207	7.736444451
208	7.732912941
209	7.729597711
210	7.723938082
211	7.719673383
212	7.717063204
213	7.707701918
214	7.704106386
215	7.700794728
216	7.695427343
217	7.689897195
218	7.686507623
219	7.674382956
220	7.669275145
221	7.662512075
222	7.660488542
223	7.655202162
224	7.649484042
225	7.64613352
226	7.641825375
227	7.635610083
228	7.632352724
229	7.629369626
230	7.62571117
231	7.617030516
232	7.612301153
233	7.608705555
234	7.606065512
235	7.604075139
236	7.60049724
237	7.597398152
238	7.59352041
239	7.58885107
240	7.586901578
241	7.584658662
242	7.581071547
243	7.576953937
244	7.574970085
245	7.570756829
246	7.568361154
247	7.566440289
248	7.564290808
249	7.560777569
250	7.557648049
251	7.555024009
252	7.549957734
253	7.545413618
254	7.540977005
255	7.537589629
256	7.53577045
257	7.532466264
258	7.529688754
259	7.528164601
260	7.526148549
261	7.522246911
262	7.518204825
263	7.51535715
264	7.511718443
265	7.508019369
266	7.505136322
267	7.502624263
268	7.497623173
269	7.495291186
270	7.493113966
271	7.490492356
272	7.485605585
273	7.484341381
274	7.480440496
275	7.474069119
276	7.471465293
277	7.469846272
278	7.465410656
279	7.461899119
280	7.460083528
281	7.457624959
282	7.454950265
283	7.452767729
284	7.45044765
285	7.445839843
286	7.442151388
287	7.440186358
288	7.437796464
289	7.434633658
290	7.432862618
291	7.427760284
292	7.425411512
293	7.423123386
294	7.420315877
295	7.416072339
296	7.414501704
297	7.409982224
298	7.409257039
299	7.406267605
300	7.402438893
301	7.400142476
302	7.396245136
303	7.393660036
304	7.389363289
305	7.387266642
306	7.384905179
307	7.382151711
308	7.379870707
309	7.377934282
310	7.375333387
311	7.373220162
312	7.36757495
313	7.363423221
314	7.360502744
315	7.358345678
316	7.355136419
317	7.351783458
318	7.349613254
319	7.34698852
320	7.345315052
321	7.342345346
322	7.340639417
323	7.338766554
324	7.336236432
325	7.334094165
326	7.330962967
327	7.329470347
328	7.326867924
329	7.323547106
330	7.318894577
331	7.317135681
332	7.315344833
333	7.309249191
334	7.305891255
335	7.303781785
336	7.298947495
337	7.297891442
338	7.291485892
339	7.289673656
340	7.288064635
341	7.28427403
342	7.282539457
343	7.280545725
344	7.276661137
345	7.273785639
346	7.26912783
347	7.266652408
348	7.264100622
349	7.261475703
350	7.259202103
351	7.257589637
352	7.25604266
353	7.253431057
354	7.250830252
355	7.246375974
356	7.244400883
357	7.242831174
358	7.24101438
359	7.23665172
360	7.234900377
361	7.232619464
362	7.228594103
363	7.227174899
364	7.22588977
365	7.224260233
366	7.222801151
367	7.221401061
368	7.219627831
369	7.218558167
370	7.216368753
371	7.214828875
372	7.21129054
373	7.209903692
374	7.207762162
375	7.205854622
376	7.203782764
377	7.201245566
378	7.199940604
379	7.196282486
380	7.195086458
381	7.194211311
382	7.189529611
383	7.18645315
384	7.184505835
385	7.182645139
386	7.179291592
387	7.177461052
388	7.175787439
389	7.173681329
390	7.16859176
391	7.166162984
392	7.163792249
393	7.161482961
394	7.160816013
395	7.158347248
396	7.156079287
397	7.15185215
398	7.149579182
399	7.148450208
400	7.147055064
401	7.143678611
402	7.140615765
403	7.140013339
404	7.137330385
405	7.135707416
406	7.133378733
407	7.126956354
408	7.123939356
409	7.122394176
410	7.121459892
411	7.118822
412	7.117093545
413	7.115625377
414	7.110995223
415	7.110096747
416	7.108957118
417	7.107105209
418	7.10529768
419	7.103355606
420	7.101583185
421	7.100642649
422	7.09885731
423	7.097514638
424	7.095302031
425	7.094226564
426	7.090964815
427	7.089240826
428	7.087405674
429	7.085042782
430	7.083377664
431	7.081677621
432	7.079714466
433	7.077715338
434	7.075880773
435	7.074571945
436	7.073663618
437	7.070856912
438	7.066982175
439	7.065130267
440	7.063552038
441	7.062583295
442	7.060405633
443	7.059259619
444	7.057693043
445	7.056266397
446	7.054830465
447	7.053494885
448	7.051557687
449	7.049278478
450	7.047767866
451	7.046121337
452	7.044071983
453	7.042812357
454	7.038397777
455	7.037242461
456	7.036073426
457	7.034453608
458	7.032564463
459	7.031026833
460	7.029642618
461	7.028381365
462	7.026418959
463	7.02427428
464	7.023193637
465	7.020648566
466	7.018732269
467	7.017141026
468	7.015481879
469	7.014264826
470	7.013162933
471	7.011970356
472	7.010844083
473	7.009343154
474	7.007783563
475	7.007066605
476	7.00346637
477	7.001223452
478	6.999418629
479	6.996913513
480	6.994963715
481	6.9933741
482	6.990091853
483	6.988111995
484	6.986551605
485	6.984840128
486	6.983606306
487	6.981339377
488	6.979799635
489	6.977524194
490	6.976316275
491	6.974497836
492	6.971730172
493	6.969815918
494	6.968381058
495	6.96700568
496	6.963755673
497	6.960233651
498	6.957762528
499	6.956727049
500	6.954424303
501	6.952753773
502	6.951502504
503	6.950103381
504	6.948984978
505	6.947528847
506	6.946402395
507	6.9454568
508	6.943644821
509	6.942809704
510	6.940948531
511	6.939714002
512	6.938905752
513	6.93620777
514	6.933943583
