iter	Passed	Remaining
0	448	672274
1	930	697067
2	1494	745506
3	1931	722385
4	2405	719386
5	2873	715467
6	3282	700121
7	3672	684904
8	3787	627457
9	4200	625912
10	4630	626832
11	4744	588337
12	5114	585063
13	5484	582175
14	5853	579544
15	6248	579515
16	6648	579972
17	7039	579549
18	7396	576562
19	7761	574338
20	8152	574143
21	8538	573613
22	8923	573064
23	9304	572227
24	9680	571125
25	10019	568042
26	10413	568096
27	10835	569663
28	11206	568415
29	11621	569473
30	12046	570833
31	12526	574668
32	12991	577522
33	13418	578581
34	13790	577214
35	14219	578255
36	14639	578865
37	15048	578955
38	15412	577393
39	15724	573937
40	16111	573332
41	16475	571931
42	16826	570157
43	17144	567318
44	17490	565511
45	17827	563497
46	18177	561957
47	18581	562086
48	18929	560557
49	19310	560004
50	19722	560351
51	20032	557825
52	20424	557627
53	20781	556471
54	21154	555783
55	21554	555801
56	21937	555362
57	22293	554257
58	22655	553327
59	23043	553046
60	23431	552750
61	23838	552906
62	24153	550940
63	24433	548235
64	24848	548580
65	25201	547558
66	25621	548003
67	25993	547398
68	26379	547092
69	26699	545442
70	27107	545581
71	27544	546303
72	27992	547193
73	28456	548366
74	28790	547022
75	29181	546773
76	29611	547236
77	29990	546748
78	30349	545899
79	30716	545209
80	31099	544821
81	31481	544394
82	31871	544122
83	32271	544008
84	32693	544247
85	33110	544403
86	33509	544239
87	33927	544387
88	34321	544123
89	34769	544715
90	35213	545231
91	35692	546255
92	36153	546965
93	36499	545939
94	36900	545734
95	37248	544753
96	37586	543643
97	37986	543441
98	38388	543253
99	38747	542466
100	39171	542585
101	39545	542002
102	39942	541743
103	40313	541124
104	40706	540812
105	41076	540198
106	41495	540213
107	41893	539964
108	42298	539787
109	42735	540024
110	43170	540217
111	43595	540273
112	43987	539913
113	44385	539637
114	44821	539801
115	45243	539800
116	45640	539495
117	46086	539761
118	46463	539207
119	46837	538632
120	47146	537313
121	47584	537475
122	48031	537716
123	48449	537631
124	48839	537238
125	49274	537324
126	49705	537366
127	50123	537256
128	50513	536855
129	50922	536646
130	51352	536656
131	51813	536973
132	52279	537334
133	52751	537753
134	53253	538455
135	53698	538559
136	54148	538717
137	54553	538417
138	54902	537569
139	55380	537985
140	55860	538399
141	56281	538240
142	56688	537950
143	57141	538079
144	57550	537802
145	57994	537836
146	58355	537109
147	58738	536586
148	59152	536340
149	59602	536420
150	59979	535839
151	60397	535627
152	60807	535342
153	61218	535067
154	61667	535114
155	62115	535153
156	62539	534971
157	62914	534377
158	63383	534570
159	63843	534692
160	64261	534449
161	64659	534041
162	65009	533239
163	65470	533341
164	65952	533617
165	66378	533430
166	66793	533151
167	67180	532645
168	67601	532411
169	68056	532442
170	68535	532652
171	68927	532183
172	69405	532376
173	69833	532181
174	70265	532007
175	70682	531726
176	71133	531694
177	71570	531552
178	72012	531446
179	72452	531319
180	72886	531147
181	73299	530816
182	73745	530729
183	74152	530354
184	74682	530849
185	75282	531832
186	75942	533224
187	76631	534790
188	77194	535458
189	77746	536039
190	78346	536940
191	78809	536890
192	79220	536480
193	79641	536141
194	80072	535868
195	80527	535752
196	80954	535451
197	81369	535068
198	81831	534988
199	82267	534738
200	82695	534434
201	83143	534260
202	83543	533774
203	84028	533825
204	84539	534044
205	84992	533886
206	85369	533251
207	85875	533418
208	86367	533495
209	86829	533380
210	87287	533237
211	87817	533533
212	88212	533003
213	88605	532462
214	88965	531723
215	89388	531366
216	89838	531164
217	90313	531107
218	90758	530877
219	91199	530617
220	91621	530246
221	92009	529677
222	92427	529283
223	92919	529311
224	93318	528802
225	93742	528444
226	94207	528308
227	94626	527915
228	95105	527857
229	95449	527046
230	95904	526851
231	96288	526267
232	96698	525826
233	97129	525494
234	97613	525453
235	98027	525029
236	98499	524917
237	98947	524672
238	99409	524498
239	99870	524320
240	100330	524135
241	100839	524199
242	101326	524145
243	101823	524142
244	102307	524066
245	102720	523621
246	103144	523237
247	103563	522830
248	104065	522834
249	104460	522302
250	104892	521953
251	105233	521158
252	105698	520974
253	106149	520715
254	106525	520093
255	106980	519859
256	107417	519533
257	107871	519286
258	108322	519028
259	108720	518513
260	109191	518345
261	109611	517934
262	110078	517747
263	110558	517615
264	110987	517244
265	111453	517043
266	111912	516810
267	112301	516252
268	112770	516062
269	113207	515725
270	113681	515550
271	114144	515326
272	114573	514951
273	115037	514731
274	115512	514554
275	115975	514326
276	116431	514066
277	116895	513836
278	117331	513482
279	117752	513066
280	118200	512762
281	118645	512446
282	119071	512051
283	119492	511631
284	119956	511393
285	120409	511108
286	120835	510709
287	121308	510504
288	121763	510228
289	122239	510035
290	122650	509568
291	123119	509344
292	123543	508931
293	123968	508522
294	124445	508326
295	124892	508007
296	125332	507659
297	125725	507118
298	126210	506952
299	126546	506186
300	126958	505725
301	127370	505265
302	127845	505053
303	128289	504717
304	128741	504412
305	129231	504255
306	129706	504037
307	130120	503582
308	130575	503285
309	130998	502863
310	131473	502641
311	131896	502219
312	132345	501898
313	132776	501504
314	133189	501045
315	133637	500718
316	134150	500632
317	134576	500217
318	135085	500111
319	135510	499693
320	135947	499321
321	136398	498998
322	136904	498873
323	137352	498538
324	137763	498069
325	138231	497801
326	138663	497409
327	139055	496870
328	139415	496217
329	139820	495727
330	140246	495310
331	140692	494965
332	141077	494405
333	141495	493962
334	141995	493806
335	142500	493664
336	142949	493325
337	143491	493304
338	143997	493160
339	144420	492727
340	144870	492389
341	145303	491991
342	145744	491622
343	146237	491424
344	146712	491166
345	147173	490861
346	147650	490607
347	148160	490463
348	148699	490410
349	149091	489872
350	149551	489557
351	149981	489143
352	150480	488954
353	150967	488725
354	151382	488261
355	151817	487861
356	152269	487518
357	152692	487081
358	153163	486795
359	153697	486708
360	154163	486404
361	154636	486123
362	155070	485715
363	155472	485211
364	155893	484764
365	156366	484478
366	156802	484080
367	157254	483727
368	157788	483628
369	158220	483213
370	158686	482902
371	159210	482768
372	159643	482355
373	160083	481961
374	160543	481631
375	161002	481294
376	161496	481063
377	161945	480694
378	162393	480323
379	162865	480023
380	163315	479657
381	163718	479155
382	164161	478767
383	164604	478381
384	165040	477973
385	165523	477702
386	165983	477363
387	166451	477045
388	166942	476795
389	167470	476647
390	167946	476350
391	168455	476144
392	168925	475827
393	169409	475550
394	169819	475065
395	170285	474735
396	170799	474538
397	171245	474152
398	171702	473796
399	172149	473411
400	172609	473062
401	173058	472682
402	173584	472511
403	174048	472171
404	174518	471847
405	174969	471470
406	175369	470956
407	175780	470471
408	176208	470032
409	176661	469662
410	177127	469322
411	177596	468992
412	178098	468749
413	178545	468358
414	179003	467996
415	179402	467481
416	179834	467051
417	180316	466753
418	180755	466340
419	181214	465980
420	181657	465577
421	182145	465290
422	182603	464927
423	183049	464530
424	183538	464244
425	184019	463935
426	184503	463634
427	185094	463600
428	185602	463356
429	186077	463030
430	186541	462675
431	187000	462307
432	187463	461949
433	187884	461486
434	188353	461140
435	188862	460893
436	189309	460494
437	189672	459890
438	190189	459661
439	190644	459279
440	191117	458941
441	191593	458609
442	192059	458255
443	192518	457881
444	193018	457604
445	193459	457188
446	193942	456871
447	194397	456488
448	194923	456268
449	195346	455809
450	195793	455404
451	196195	454895
452	196634	454473
453	197110	454136
454	197541	453693
455	197985	453283
456	198452	452923
457	198924	452575
458	199407	452252
459	199860	451859
460	200319	451479
461	200701	450926
462	201139	450501
463	201595	450113
464	202045	449713
465	202593	449530
466	203063	449174
467	203484	448709
468	203929	448296
469	204377	447891
470	204838	447514
471	205275	447082
472	205784	446809
473	206273	446491
474	206735	446112
475	207193	445726
476	207675	445391
477	208129	444996
478	208574	444580
479	209062	444257
480	209517	443864
481	210011	443550
482	210478	443180
483	210970	442863
484	211424	442465
485	211894	442101
486	212311	441624
487	212802	441303
488	213283	440959
489	213778	440646
490	214218	440216
491	214708	439891
492	215235	439638
493	215760	439382
494	216210	438972
495	216668	438579
496	217136	438204
497	217645	437913
498	218082	437475
499	218579	437158
500	219063	436815
501	219483	436344
502	219945	435955
503	220408	435568
504	220846	435133
505	221297	434723
506	221749	434313
507	222188	433879
508	222655	433500
509	223102	433081
510	223569	432701
511	224071	432387
512	224517	431966
513	224935	431490
514	225399	431103
515	225848	430688
516	226328	430331
517	226778	429916
518	227208	429464
519	227634	429002
520	228133	428680
521	228598	428294
522	229105	427984
523	229586	427626
524	230131	427387
525	230628	427057
526	231081	426645
527	231555	426271
528	232018	425878
529	232527	425570
530	233011	425213
531	233471	424813
532	233937	424422
533	234379	423990
534	234802	423522
535	235225	423054
536	235719	422714
537	236183	422320
538	236617	421872
539	237072	421462
540	237517	421033
541	237974	420626
542	238410	420182
543	238812	419677
544	239267	419266
545	239838	419057
546	240264	418595
547	240718	418182
548	241183	417787
549	241634	417367
550	242068	416920
551	242561	416573
552	243062	416238
553	243515	415823
554	243987	415439
555	244406	414964
556	244824	414487
557	245277	414070
558	245718	413634
559	246145	413173
560	246572	412712
561	247030	412303
562	247516	411941
563	247969	411523
564	248522	411272
565	249109	411073
566	249575	410677
567	250122	410412
568	250589	410016
569	251070	409642
570	251533	409237
571	252044	408910
572	252523	408533
573	253050	408231
574	253563	407906
575	254042	407526
576	254485	407088
577	254977	406728
578	255465	406362
579	255978	406035
580	256454	405648
581	256955	405300
582	257441	404929
583	257889	404497
584	258359	404100
585	258820	403689
586	259320	403337
587	259753	402883
588	260205	402457
589	260672	402054
590	261137	401647
591	261576	401201
592	262092	400872
593	262580	400501
594	263052	400105
595	263440	399580
596	263862	399108
597	264329	398705
598	264803	398310
599	265343	398015
600	265875	397707
601	266316	397263
602	266803	396887
